Species	p-values	p-values (corrected)	Effect size	Note	454: mean rel. freq. (%)	454: std. dev. (%)	illumina: mean rel. freq. (%)	illumina: std. dev. (%)	anderson_hulk_cellular_12	anderson_hulk_cellular_12: parent seq. count	anderson_hulk_cellular_12: rel. freq. (%)	anderson_hulk_virome_13	anderson_hulk_virome_13: parent seq. count	anderson_hulk_virome_13: rel. freq. (%)	lanzen_trollveggen_25	lanzen_trollveggen_25: parent seq. count	lanzen_trollveggen_25: rel. freq. (%)	lesniewski_guaymas_basin_GD1_26	lesniewski_guaymas_basin_GD1_26: parent seq. count	lesniewski_guaymas_basin_GD1_26: rel. freq. (%)	lesniewski_guaymas_basin_GD2_27	lesniewski_guaymas_basin_GD2_27: parent seq. count	lesniewski_guaymas_basin_GD2_27: rel. freq. (%)	nakai_fryer_28	nakai_fryer_28: parent seq. count	nakai_fryer_28: rel. freq. (%)	perner_sisters_peak_29	perner_sisters_peak_29: parent seq. count	perner_sisters_peak_29: rel. freq. (%)	stokke_lokis_castle_30	stokke_lokis_castle_30: parent seq. count	stokke_lokis_castle_30: rel. freq. (%)	tang_kueishantao_G1_31	tang_kueishantao_G1_31: parent seq. count	tang_kueishantao_G1_31: rel. freq. (%)	tang_kueishantao_G2_32	tang_kueishantao_G2_32: parent seq. count	tang_kueishantao_G2_32: rel. freq. (%)	xie_4143-1_33	xie_4143-1_33: parent seq. count	xie_4143-1_33: rel. freq. (%)	anantharaman_abe_1_1	anantharaman_abe_1_1: parent seq. count	anantharaman_abe_1_1: rel. freq. (%)	anantharaman_abe_2_2	anantharaman_abe_2_2: parent seq. count	anantharaman_abe_2_2: rel. freq. (%)	anantharaman_abe_background_3	anantharaman_abe_background_3: parent seq. count	anantharaman_abe_background_3: rel. freq. (%)	anantharaman_kilo_moana_km1_4	anantharaman_kilo_moana_km1_4: parent seq. count	anantharaman_kilo_moana_km1_4: rel. freq. (%)	anantharaman_kilo_moana_km4_1_5	anantharaman_kilo_moana_km4_1_5: parent seq. count	anantharaman_kilo_moana_km4_1_5: rel. freq. (%)	anantharaman_kilo_moana_km4_2_6	anantharaman_kilo_moana_km4_2_6: parent seq. count	anantharaman_kilo_moana_km4_2_6: rel. freq. (%)	anantharaman_mariner_7	anantharaman_mariner_7: parent seq. count	anantharaman_mariner_7: rel. freq. (%)	anantharaman_mariner_background_8	anantharaman_mariner_background_8: parent seq. count	anantharaman_mariner_background_8: rel. freq. (%)	anantharaman_tahi_moana_9	anantharaman_tahi_moana_9: parent seq. count	anantharaman_tahi_moana_9: rel. freq. (%)	anantharaman_tahi_moana_background_10	anantharaman_tahi_moana_background_10: parent seq. count	anantharaman_tahi_moana_background_10: rel. freq. (%)	anantharaman_tui_malila_11	anantharaman_tui_malila_11: parent seq. count	anantharaman_tui_malila_11: rel. freq. (%)	axial_seamount_unpublished_anemone_14	axial_seamount_unpublished_anemone_14: parent seq. count	axial_seamount_unpublished_anemone_14: rel. freq. (%)	axial_seamount_unpublished_dependable_15	axial_seamount_unpublished_dependable_15: parent seq. count	axial_seamount_unpublished_dependable_15: rel. freq. (%)	axial_seamount_unpublished_elguapo_16	axial_seamount_unpublished_elguapo_16: parent seq. count	axial_seamount_unpublished_elguapo_16: rel. freq. (%)	axial_seamount_unpublished_marker113_18	axial_seamount_unpublished_marker113_18: parent seq. count	axial_seamount_unpublished_marker113_18: rel. freq. (%)	axial_seamount_unpublished_marker33_17	axial_seamount_unpublished_marker33_17: parent seq. count	axial_seamount_unpublished_marker33_17: rel. freq. (%)	axial_seamount_unpublished_marshmallow_19	axial_seamount_unpublished_marshmallow_19: parent seq. count	axial_seamount_unpublished_marshmallow_19: rel. freq. (%)	axial_seamount_unpublished_n3_20	axial_seamount_unpublished_n3_20: parent seq. count	axial_seamount_unpublished_n3_20: rel. freq. (%)	cayman_rise_unpublished_beebe_21	cayman_rise_unpublished_beebe_21: parent seq. count	cayman_rise_unpublished_beebe_21: rel. freq. (%)	cayman_rise_unpublished_beebe_background_22	cayman_rise_unpublished_beebe_background_22: parent seq. count	cayman_rise_unpublished_beebe_background_22: rel. freq. (%)	cayman_rise_unpublished_von_damm_2041_23	cayman_rise_unpublished_von_damm_2041_23: parent seq. count	cayman_rise_unpublished_von_damm_2041_23: rel. freq. (%)	cayman_rise_unpublished_von_damm_2238_24	cayman_rise_unpublished_von_damm_2238_24: parent seq. count	cayman_rise_unpublished_von_damm_2238_24: rel. freq. (%)	
16SrXII (Stolbur group)	0.0199493985166	0.0199493985166	0.1626535046		0.0380714276431	0.0688655727196	0.000886497080959	0.00123696261055	0.000183	0.769731	0.023774539417	4.4e-05	0.776584	0.00566583911077	1e-06	0.79919	0.000125126690774	9e-06	0.757838	0.00118758890422	6e-06	0.775905	0.00077329054459	0.000641	0.878304	0.0729815644697	7e-06	0.935812	0.000748013489889	1e-06	0.708229	0.000141197268115	4e-05	0.892261	0.0044829932049	0.000592	0.852495	0.0694432225409	0.002162	0.902856	0.239462328433	0.0	0.778531	0.0	0.0	0.747344	0.0	0.0	0.613682	0.0	0.0	0.650786	0.0	0.0	0.772173	0.0	0.0	0.762772	0.0	0.0	0.853421	0.0	0.0	0.751409	0.0	0.0	0.603498	0.0	0.0	0.846079	0.0	0.0	0.625589	0.0	2e-05	0.814418	0.00245574140061	2.5e-05	0.820059	0.00304856114011	1.1e-05	0.813907	0.00135150576171	3.4e-05	0.841758	0.00403916565094	2.1e-05	0.807879	0.00259939916745	2e-06	0.822798	0.000243073026429	1.5e-05	0.861636	0.00174087433673	2.1e-05	0.808631	0.00259698181247	7e-06	0.82537	0.000848104486473	2e-06	0.867831	0.000230459617137	3e-06	0.859428	0.00034906938103	
Acidithiobacillus ferrivorans	0.0455798748611	0.0455798748611	0.122790926735		0.0733542331951	0.150468350549	0.00415060010894	0.00916854424114	1.6e-05	0.769731	0.00207864825504	5.7e-05	0.776584	0.00733983702986	0.000649	0.79919	0.0812072223126	0.0	0.757838	0.0	1e-06	0.775905	0.000128881757432	0.000419	0.878304	0.0477055780231	0.000315	0.935812	0.033660607045	0.000217	0.708229	0.030639807181	0.00051	0.892261	0.0571581633625	4.1e-05	0.852495	0.00480941237192	0.004895	0.902856	0.542168407808	0.0	0.778531	0.0	0.0	0.747344	0.0	0.0	0.613682	0.0	1e-06	0.650786	0.000153660343031	0.0	0.772173	0.0	0.0	0.762772	0.0	4e-06	0.853421	0.000468701848209	0.0	0.751409	0.0	0.0	0.603498	0.0	0.0	0.846079	0.0	0.0	0.625589	0.0	1e-06	0.814418	0.00012278707003	0.000135	0.820059	0.0164622301566	0.0	0.813907	0.0	3e-06	0.841758	0.0003563969692	4e-06	0.807879	0.000495123650943	0.0	0.822798	0.0	0.000103	0.861636	0.0119540037789	4e-06	0.808631	0.000494663202375	1.2e-05	0.82537	0.00145389340538	0.000301	0.867831	0.0346841723792	0.000212	0.859428	0.0246675695928	
Aeropyrum camini	0.00949284574261	0.00949284574261	0.19786908566		0.0247330101271	0.0365723206864	0.169342962008	0.166100263207	1.5e-05	0.769731	0.0019487327391	1.1e-05	0.776584	0.00141645977769	0.000173	0.79919	0.021646917504	0.000773	0.757838	0.102000691441	0.00068	0.775905	0.0876395950535	0.000471	0.878304	0.0536260793529	1.9e-05	0.935812	0.0020303223297	0.0	0.708229	0.0	1e-06	0.892261	0.000112074830123	1.4e-05	0.852495	0.0016422383709	0.0	0.902856	0.0	0.002482	0.778531	0.318805545315	0.000525	0.747344	0.0702487743261	0.00184	0.613682	0.299829553417	0.001338	0.650786	0.205597538976	0.000757	0.772173	0.0980350258297	0.000944	0.762772	0.123759131169	0.000249	0.853421	0.029176690051	0.002548	0.751409	0.339096284447	0.003952	0.603498	0.654848897594	0.000271	0.846079	0.0320301059357	0.003051	0.625589	0.487700391151	0.000941	0.814418	0.115542632899	1.1e-05	0.820059	0.00134136690165	0.001628	0.813907	0.200022852734	0.000256	0.841758	0.0304125413717	0.00032	0.807879	0.0396098920754	0.000375	0.822798	0.0455761924555	0.000202	0.861636	0.0234437744013	0.002551	0.808631	0.315471457315	0.001217	0.82537	0.147449022862	0.000613	0.867831	0.0706358726526	0.000661	0.859428	0.076911620287	
Aeropyrum pernix	0.013591917921	0.013591917921	0.180944725629		0.0310229923055	0.0455230942142	0.100610494099	0.0791852847506	9e-06	0.769731	0.00116923964346	3e-06	0.776584	0.000386307212098	6.5e-05	0.79919	0.00813323490034	0.000607	0.757838	0.0800962738738	0.001139	0.775905	0.146796321715	0.000569	0.878304	0.0647839472438	2.2e-05	0.935812	0.00235089953965	0.0	0.708229	0.0	1e-06	0.892261	0.000112074830123	3.2e-05	0.852495	0.00375368770491	0.000304	0.902856	0.0336709286974	0.001826	0.778531	0.234544289181	0.000306	0.747344	0.040944999893	0.000483	0.613682	0.0787052577719	0.000513	0.650786	0.0788277559751	0.000467	0.772173	0.0604786751156	0.00071	0.762772	0.0930815499258	0.000141	0.853421	0.0165217401494	0.00167	0.751409	0.222249134626	0.001468	0.603498	0.24324852775	0.000177	0.846079	0.0209200322901	0.001367	0.625589	0.218514072338	0.000875	0.814418	0.107438686277	3.3e-05	0.820059	0.00402410070495	0.00141	0.813907	0.17323846582	0.0004	0.841758	0.0475195958934	0.000295	0.807879	0.036515369257	0.000251	0.822798	0.0305056648169	0.000267	0.861636	0.0309875631937	0.001796	0.808631	0.222103777867	0.001142	0.82537	0.138362189079	0.000438	0.867831	0.0504706561531	0.000552	0.859428	0.0642287661096	
Alkalilimnicola ehrlichii	0.0170264198487	0.0170264198487	0.170228089099		0.0274896700342	0.0339935839762	0.0079039002957	0.0067456922684	2.4e-05	0.769731	0.00311797238256	0.000244	0.776584	0.0314196532506	1.2e-05	0.79919	0.00150152028929	0.000265	0.757838	0.0349678955133	0.000213	0.775905	0.0274518143329	0.000325	0.878304	0.0370031333115	1e-06	0.935812	0.000106859069984	0.0	0.708229	0.0	2e-06	0.892261	0.000224149660245	0.000391	0.852495	0.0458653716444	0.00109	0.902856	0.120728000922	7.9e-05	0.778531	0.0101473159065	5.1e-05	0.747344	0.00682416664883	1.8e-05	0.613682	0.00293311519647	1.1e-05	0.650786	0.00169026377334	0.000133	0.772173	0.0172241194655	5.4e-05	0.762772	0.00707944182534	0.000123	0.853421	0.0144125818324	3e-05	0.751409	0.00399249942441	2.2e-05	0.603498	0.00364541390361	0.000174	0.846079	0.0205654554717	1.1e-05	0.625589	0.00175834293762	3e-05	0.814418	0.00368361210091	2.8e-05	0.820059	0.00341438847693	1.5e-05	0.813907	0.00184296240234	9e-06	0.841758	0.0010691909076	3.4e-05	0.807879	0.00420855103301	3.6e-05	0.822798	0.00437531447573	1.5e-05	0.861636	0.00174087433673	6.1e-05	0.808631	0.00754361383622	0.00015	0.82537	0.0181736675673	0.000123	0.867831	0.014173266454	0.000201	0.859428	0.023387648529	
Allochromatium vinosum	0.0141962774175	0.0141962774175	0.17888061115		0.0251956766913	0.0437602524944	0.00017552213448	0.000616064615554	0.000165	0.769731	0.0214360601301	0.001175	0.776584	0.151303658072	0.0	0.79919	0.0	2e-06	0.757838	0.000263908645383	2e-06	0.775905	0.000257763514863	0.000409	0.878304	0.0465670200751	4.9e-05	0.935812	0.00523609442922	1e-06	0.708229	0.000141197268115	0.0	0.892261	0.0	1.7e-05	0.852495	0.00199414659324	0.000451	0.902856	0.0499525948767	0.0	0.778531	0.0	0.0	0.747344	0.0	0.0	0.613682	0.0	0.0	0.650786	0.0	0.0	0.772173	0.0	0.0	0.762772	0.0	0.0	0.853421	0.0	0.0	0.751409	0.0	0.0	0.603498	0.0	3e-06	0.846079	0.000354576818477	0.0	0.625589	0.0	0.0	0.814418	0.0	2.4e-05	0.820059	0.00292661869451	0.0	0.813907	0.0	0.0	0.841758	0.0	0.0	0.807879	0.0	0.0	0.822798	0.0	5e-06	0.861636	0.000580291445576	0.0	0.808631	0.0	0.0	0.82537	0.0	0.0	0.867831	0.0	0.0	0.859428	0.0	
Archaeoglobus profundus	0.0188243201372	0.0188243201372	0.165432235024		0.00944005301574	0.0139334349896	0.0016422298319	0.00227608378352	3.9e-05	0.769731	0.00506670512166	6.4e-05	0.776584	0.00824122052476	0.000127	0.79919	0.0158910897283	4e-06	0.757838	0.000527817290767	7e-06	0.775905	0.000902172302022	0.000393	0.878304	0.0447453273582	0.000259	0.935812	0.0276764991259	0.0	0.708229	0.0	6e-06	0.892261	0.000672448980735	1e-06	0.852495	0.000117302740779	0.0	0.902856	0.0	2.9e-05	0.778531	0.00372496406694	1.1e-05	0.747344	0.00147187908112	6e-06	0.613682	0.00097770506549	1e-06	0.650786	0.000153660343031	2e-05	0.772173	0.0025900931527	8e-06	0.762772	0.00104880619635	1e-06	0.853421	0.000117175462052	2e-06	0.751409	0.000266166628294	4e-06	0.603498	0.000662802527929	6e-06	0.846079	0.000709153636954	2e-06	0.625589	0.00031969871593	1.4e-05	0.814418	0.00171901898043	1e-06	0.820059	0.000121942445605	6e-06	0.813907	0.000737184960935	7.4e-05	0.841758	0.00879112524027	4.6e-05	0.807879	0.00569392198584	1.1e-05	0.822798	0.00133690164536	4.9e-05	0.861636	0.00568685616664	0.0	0.808631	0.0	0.0	0.82537	0.0	0.0	0.867831	0.0	0.0	0.859428	0.0	
Archaeoglobus veneficus	0.0364413662645	0.0364413662645	0.13362627228		0.00578866795127	0.0107891237137	0.000512838617108	0.00139737951825	0.0	0.769731	0.0	3e-06	0.776584	0.000386307212098	0.000177	0.79919	0.0221474242671	1e-06	0.757838	0.000131954322692	0.0	0.775905	0.0	0.000294	0.878304	0.0334736036725	5.6e-05	0.935812	0.00598410791911	0.0	0.708229	0.0	1e-06	0.892261	0.000112074830123	0.0	0.852495	0.0	1.3e-05	0.902856	0.00143987524035	4e-06	0.778531	0.000513788147164	1e-06	0.747344	0.000133807189193	2e-06	0.613682	0.000325901688497	0.0	0.650786	0.0	3e-06	0.772173	0.000388513972905	1e-06	0.762772	0.000131100774543	0.0	0.853421	0.0	0.0	0.751409	0.0	1e-06	0.603498	0.000165700631982	0.0	0.846079	0.0	0.0	0.625589	0.0	2e-06	0.814418	0.000245574140061	1e-06	0.820059	0.000121942445605	1e-06	0.813907	0.000122864160156	1.3e-05	0.841758	0.00154438686653	3e-06	0.807879	0.000371342738207	4e-06	0.822798	0.000486146052859	5.8e-05	0.861636	0.00673138076868	0.0	0.808631	0.0	0.0	0.82537	0.0	0.0	0.867831	0.0	0.0	0.859428	0.0	
Arcobacter butzleri	0.0284284571398	0.0284284571398	0.145624279366		0.14186680575	0.25276858059	0.0125290826729	0.0277276551103	0.001445	0.769731	0.187727920533	0.000726	0.776584	0.0934863453277	0.00017	0.79919	0.0212715374316	1.3e-05	0.757838	0.00171540619499	1.4e-05	0.775905	0.00180434460404	0.001351	0.878304	0.153819178781	1.2e-05	0.935812	0.00128230883981	0.006479	0.708229	0.914817100119	0.000353	0.892261	0.0395624150333	0.001127	0.852495	0.132200188857	0.000116	0.902856	0.0128481175293	2.3e-05	0.778531	0.00295428184619	1.3e-05	0.747344	0.0017394934595	2.1e-05	0.613682	0.00342196772921	6e-06	0.650786	0.000921962058188	3.3e-05	0.772173	0.00427365370196	3e-06	0.762772	0.00039330232363	0.001094	0.853421	0.128189955485	3e-06	0.751409	0.000399249942441	1.5e-05	0.603498	0.00248550947973	0.00012	0.846079	0.0141830727391	1.2e-05	0.625589	0.00191819229558	5.6e-05	0.814418	0.0068760759217	4e-05	0.820059	0.00487769782418	3.1e-05	0.813907	0.00380878896483	4e-06	0.841758	0.000475195958934	2.2e-05	0.807879	0.00272318008019	7e-05	0.822798	0.00850755592503	2e-06	0.861636	0.00023211657823	1.8e-05	0.808631	0.00222598441069	1.1e-05	0.82537	0.0013327356216	0.000378	0.867831	0.043556867639	0.000345	0.859428	0.0401429788185	
Bacteriovorax marinus	0.0158940262882	0.0158940262882	0.173508937871		0.350890100713	0.421243908663	0.986106401358	0.742935118694	0.004422	0.769731	0.574486411487	0.001929	0.776584	0.248395537379	0.002503	0.79919	0.313192107008	0.007884	0.757838	1.0403278801	0.010035	0.775905	1.29332843583	0.000415	0.878304	0.0472501548439	3e-06	0.935812	0.000320577209952	0.001545	0.708229	0.218149779238	9e-05	0.892261	0.010086734711	6e-05	0.852495	0.00703816444671	0.000968	0.902856	0.107215325589	0.00436	0.778531	0.560029080409	0.003993	0.747344	0.534292106446	0.020164	0.613682	3.28574082342	0.012436	0.650786	1.91092002594	0.005464	0.772173	0.707613449318	0.003667	0.762772	0.480746540251	0.003226	0.853421	0.37800804058	0.00659	0.751409	0.87701904023	0.009868	0.603498	1.6351338364	0.009367	0.846079	1.10710701956	0.016452	0.625589	2.62984163724	0.006425	0.814418	0.788906924945	0.000166	0.820059	0.0202424459704	0.006944	0.813907	0.853168728123	0.003785	0.841758	0.449654176141	0.005643	0.807879	0.698495690568	0.008174	0.822798	0.993439459017	0.00574	0.861636	0.666174579521	0.004953	0.808631	0.612516710341	0.004963	0.82537	0.601306080909	0.008843	0.867831	1.01897719717	0.007606	0.859428	0.885007237372	
Bacteroides salanitronis	0.0233086753591	0.0233086753591	0.155185861118		0.0152654602937	0.0273484400508	0.000830969403516	0.00202916543162	1e-06	0.769731	0.00012991551594	0.000152	0.776584	0.0195728987463	2.3e-05	0.79919	0.00287791388781	0.0	0.757838	0.0	0.0	0.775905	0.0	0.000438	0.878304	0.0498688381244	0.00083	0.935812	0.0886930280868	4.8e-05	0.708229	0.00677746886953	0.0	0.892261	0.0	0.0	0.852495	0.0	0.0	0.902856	0.0	0.0	0.778531	0.0	0.0	0.747344	0.0	0.0	0.613682	0.0	0.0	0.650786	0.0	0.0	0.772173	0.0	0.0	0.762772	0.0	0.0	0.853421	0.0	0.0	0.751409	0.0	0.0	0.603498	0.0	0.0	0.846079	0.0	0.0	0.625589	0.0	1e-06	0.814418	0.00012278707003	2e-05	0.820059	0.00243884891209	0.0	0.813907	0.0	1.5e-05	0.841758	0.001781984846	1.3e-05	0.807879	0.00160915186556	2.6e-05	0.822798	0.00315994934358	7.9e-05	0.861636	0.00916860484009	0.0	0.808631	0.0	0.0	0.82537	0.0	0.0	0.867831	0.0	0.0	0.859428	0.0	
Bdellovibrio bacteriovorus	0.0237767086804	0.0237767086804	0.15423012266		0.0263738762406	0.0265329218605	0.0647040358906	0.0483074780407	0.000457	0.769731	0.0593713907846	0.000506	0.776584	0.0651571497739	9.8e-05	0.79919	0.0122624156959	0.000501	0.757838	0.0661091156685	0.000142	0.775905	0.0183012095553	0.00045	0.878304	0.051235107662	3e-06	0.935812	0.000320577209952	2e-06	0.708229	0.000282394536231	1e-06	0.892261	0.000112074830123	7e-05	0.852495	0.0082111918545	7.9e-05	0.902856	0.00875001107596	0.00116	0.778531	0.148998562678	0.000369	0.747344	0.0493748528121	0.001381	0.613682	0.225035115907	0.000512	0.650786	0.0786740956321	0.001094	0.772173	0.141678095453	0.00042	0.762772	0.0550623253082	0.000251	0.853421	0.0294110409751	0.000306	0.751409	0.040723494129	0.000419	0.603498	0.0694285648005	0.000412	0.846079	0.0486952164041	0.000323	0.625589	0.0516313426227	0.000336	0.814418	0.0412564555302	0.000625	0.820059	0.0762140285028	0.000238	0.813907	0.0292416701171	7.9e-05	0.841758	0.00938512018894	0.000358	0.807879	0.0443135667594	0.000746	0.822798	0.0906662388581	0.00028	0.861636	0.0324963209522	0.000231	0.808631	0.0285667999372	0.000294	0.82537	0.0356203884319	0.000436	0.867831	0.050240196536	0.000402	0.859428	0.046775297058	
Blattabacterium punctulatus	0.00214728917265	0.00214728917265	0.265565032577		0.0556119322513	0.0609202508961	0.00956937413483	0.0099303263999	0.00074	0.769731	0.0961374817956	0.00019	0.776584	0.0244661234329	0.000264	0.79919	0.0330334463644	0.000482	0.757838	0.0636019835374	0.000498	0.775905	0.064183115201	0.00032	0.878304	0.0364338543375	1e-06	0.935812	0.000106859069984	0.000256	0.708229	0.0361465006375	4.4e-05	0.892261	0.00493129252539	0.001954	0.852495	0.229209555481	0.000212	0.902856	0.0234810423811	3e-05	0.778531	0.00385341110373	1.7e-05	0.747344	0.00227472221628	4.7e-05	0.613682	0.00765868967967	1.1e-05	0.650786	0.00169026377334	2e-05	0.772173	0.0025900931527	1.9e-05	0.762772	0.00249091471632	1e-06	0.853421	0.000117175462052	4.3e-05	0.751409	0.00572258250833	4.1e-05	0.603498	0.00679372591127	1.9e-05	0.846079	0.00224565318369	1.2e-05	0.625589	0.00191819229558	0.000172	0.814418	0.0211193760452	0.000226	0.820059	0.0275589927066	0.000322	0.813907	0.0395622595702	0.00017	0.841758	0.0201958282547	0.00012	0.807879	0.0148537095283	8.3e-05	0.822798	0.0100875305968	0.000162	0.861636	0.0188014428367	8.5e-05	0.808631	0.0105115930505	3.2e-05	0.82537	0.00387704908102	2.6e-05	0.867831	0.00299597502279	3.1e-05	0.859428	0.00360705027065	
Blattabacterium sp. (Blatta orientalis)	0.000522885132389	0.000522885132389	0.325804110793		0.0534035554275	0.0423036713803	0.0142731227512	0.0127034969277	0.000845	0.769731	0.109778610969	0.000211	0.776584	0.0271702739176	0.000308	0.79919	0.0385390207585	0.000584	0.757838	0.0770613244519	0.000267	0.775905	0.0344114292342	0.000352	0.878304	0.0400772397712	1e-06	0.935812	0.000106859069984	0.000435	0.708229	0.0614208116301	7.3e-05	0.892261	0.00818146259895	0.001281	0.852495	0.150264810937	0.000365	0.902856	0.0404272663636	5.1e-05	0.778531	0.00655079887635	2.7e-05	0.747344	0.0036127941082	0.00015	0.613682	0.0244426266372	4.8e-05	0.650786	0.0073756964655	2.3e-05	0.772173	0.00297860712561	3e-05	0.762772	0.0039330232363	1e-06	0.853421	0.000117175462052	4.8e-05	0.751409	0.00638799907906	0.000133	0.603498	0.0220381840536	2.1e-05	0.846079	0.00248203772934	6.9e-05	0.625589	0.0110296056996	0.00021	0.814418	0.0257852847064	0.000411	0.820059	0.0501183451435	0.000365	0.813907	0.0448454184569	0.000141	0.841758	0.0167506575524	0.000122	0.807879	0.0151012713538	8.4e-05	0.822798	0.01020906711	0.000128	0.861636	0.0148554610067	0.000163	0.808631	0.0201575254968	8.4e-05	0.82537	0.0101772538377	5.9e-05	0.867831	0.00679855870555	7.1e-05	0.859428	0.00826130868438	
Blattabacterium sp. (Blattella germanica)	0.0130122995346	0.0130122995346	0.183009781047		0.0485346766907	0.0442867208158	0.0200966651161	0.014925487887	0.000668	0.769731	0.0867835646479	0.000165	0.776584	0.0212468966654	0.000295	0.79919	0.0369123737785	0.000405	0.757838	0.0534415006901	0.000407	0.775905	0.0524548752747	0.000341	0.878304	0.0388248260283	1e-06	0.935812	0.000106859069984	0.000261	0.708229	0.0368524869781	7.4e-05	0.892261	0.00829353742907	0.001445	0.852495	0.169502460425	0.000266	0.902856	0.0294620626102	9e-05	0.778531	0.0115602333112	5.2e-05	0.747344	0.00695797383802	0.000218	0.613682	0.0355232840461	6.4e-05	0.650786	0.00983426195401	6.1e-05	0.772173	0.00789978411574	5.5e-05	0.762772	0.00721054259989	1e-06	0.853421	0.000117175462052	7.7e-05	0.751409	0.0102474151893	0.000231	0.603498	0.0382768459879	3.3e-05	0.846079	0.00390034500324	9.7e-05	0.625589	0.0155053877226	0.000305	0.814418	0.0374500563593	0.000333	0.820059	0.0406068343863	0.000511	0.813907	0.0627835858397	0.000216	0.841758	0.0256605817824	0.000179	0.807879	0.0221567833797	0.000148	0.822798	0.0179874039558	0.000237	0.861636	0.0275058145203	0.000209	0.808631	0.0258461523241	0.000109	0.82537	0.0132061984322	9e-05	0.867831	0.0103706827712	9.9e-05	0.859428	0.011519289574	
Blattabacterium sp. (Mastotermes darwiniensis)	0.0266123791611	0.0266123791611	0.148806834638		0.0362779676925	0.0290597843553	0.0162329047096	0.0185442194162	0.000349	0.769731	0.0453405150631	3.5e-05	0.776584	0.00450691747448	0.000251	0.79919	0.0314067993844	0.000388	0.757838	0.0511982772044	0.000491	0.775905	0.0632809428989	0.00027	0.878304	0.0307410645972	1e-06	0.935812	0.000106859069984	0.000294	0.708229	0.0415119968259	5.6e-05	0.892261	0.00627619048686	0.000893	0.852495	0.104751347515	0.00018	0.902856	0.0199367340971	5.4e-05	0.778531	0.00693613998672	3.8e-05	0.747344	0.00508467318932	0.000116	0.613682	0.0189022979328	3.9e-05	0.650786	0.00599275337822	4.5e-05	0.772173	0.00582770959358	4.1e-05	0.762772	0.00537513175628	1e-06	0.853421	0.000117175462052	5.5e-05	0.751409	0.00731958227809	0.000118	0.603498	0.0195526745739	2.4e-05	0.846079	0.00283661454781	4.4e-05	0.625589	0.00703337175046	0.000212	0.814418	0.0260308588464	0.000709	0.820059	0.0864571939336	0.000403	0.813907	0.0495142565428	0.000159	0.841758	0.0188890393676	0.000115	0.807879	0.0142348049646	0.000106	0.822798	0.0128828704008	0.000195	0.861636	0.0226313663774	0.000141	0.808631	0.0174368778837	6.2e-05	0.82537	0.00751178259447	7.3e-05	0.867831	0.00841177602552	7e-05	0.859428	0.00814495222404	
Borrelia miyamotoi	0.0421880860027	0.0421880860027	0.126536894846		0.00533655973864	0.0113510074642	4.42382151541e-05	0.000153956013938	3e-06	0.769731	0.00038974654782	1e-06	0.776584	0.000128769070699	5e-06	0.79919	0.000625633453872	3e-06	0.757838	0.000395862968075	2e-06	0.775905	0.000257763514863	0.000348	0.878304	0.039621816592	1e-06	0.935812	0.000106859069984	0.0	0.708229	0.0	0.0	0.892261	0.0	5.2e-05	0.852495	0.00609974252048	0.0001	0.902856	0.0110759633873	0.0	0.778531	0.0	0.0	0.747344	0.0	0.0	0.613682	0.0	0.0	0.650786	0.0	0.0	0.772173	0.0	0.0	0.762772	0.0	0.0	0.853421	0.0	0.0	0.751409	0.0	0.0	0.603498	0.0	0.0	0.846079	0.0	0.0	0.625589	0.0	1e-06	0.814418	0.00012278707003	6e-06	0.820059	0.000731654673627	0.0	0.813907	0.0	1e-06	0.841758	0.000118798989733	0.0	0.807879	0.0	0.0	0.822798	0.0	0.0	0.861636	0.0	0.0	0.808631	0.0	0.0	0.82537	0.0	0.0	0.867831	0.0	0.0	0.859428	0.0	
Borrelia turicatae	0.0375755437197	0.0375755437197	0.132143078962		0.00625802793732	0.0130232726075	3.32570306194e-05	0.000152402860203	2e-06	0.769731	0.00025983103188	1e-06	0.776584	0.000128769070699	2e-06	0.79919	0.000250253381549	3e-06	0.757838	0.000395862968075	1e-06	0.775905	0.000128881757432	0.000397	0.878304	0.0452007505374	0.0	0.935812	0.0	0.0	0.708229	0.0	0.0	0.892261	0.0	0.0001	0.852495	0.0117302740779	9.7e-05	0.902856	0.0107436844857	0.0	0.778531	0.0	0.0	0.747344	0.0	0.0	0.613682	0.0	0.0	0.650786	0.0	0.0	0.772173	0.0	0.0	0.762772	0.0	0.0	0.853421	0.0	0.0	0.751409	0.0	0.0	0.603498	0.0	0.0	0.846079	0.0	0.0	0.625589	0.0	0.0	0.814418	0.0	6e-06	0.820059	0.000731654673627	0.0	0.813907	0.0	0.0	0.841758	0.0	0.0	0.807879	0.0	0.0	0.822798	0.0	0.0	0.861636	0.0	0.0	0.808631	0.0	0.0	0.82537	0.0	0.0	0.867831	0.0	0.0	0.859428	0.0	
